,Town,Unnamed: 0,Municipality,Number of Taxpayers,Total Retail Sales of Goods,Total Tax Due(Excluding Tax at 9.35% Rate) ,Tax Due At 6%,Tax Due At 6.35%,Tax Due at 7%
125,Shelton,125,SHELTON (126),1431,1115213323.0,25069681.0,11798489.0,13038379.0,232812.0
126,Sherman,126,SHERMAN (127),184,8303968.0,518606.0,244217.0,272786.0,1604.0
127,Simsbury,127,SIMSBURY (128),961,413881972.0,15855806.0,7631901.0,8201039.0,22866.0
128,Somers,128,SOMERS (129),414,81981269.0,1833509.0,888881.0,944605.0,23.0
129,South,129,SOUTH WINDSOR (132),1099,790857619.0,20049250.0,8725624.0,11314244.0,9381.0
130,Southbury,130,SOUTHBURY (130),749,309371226.0,19213061.0,9042099.0,10161504.0,9458.0
131,Southington,131,SOUTHINGTON (131),1671,921207710.0,21560563.0,10226324.0,11333155.0,1083.0
132,Sprague,132,SPRAGUE (133),98,98693969.0,342454.0,182498.0,159956.0,0.0
133,Stafford,133,STAFFORD (134),457,231128642.0,12015905.0,5608250.0,6407655.0,0.0
134,Stamford,134,STAMFORD (135),4447,5672502382.0,97789924.0,43051349.0,54285446.0,453129.0
135,Sterling,135,STERLING (136),103,5348311.0,230591.0,111940.0,118651.0,0.0
136,Stonington,136,STONINGTON (137),1275,379857034.0,15314562.0,6757294.0,8482024.0,75244.0
137,Stratford,137,STRATFORD (138),1645,9666051228.0,48826147.0,22481079.0,26327663.0,17405.0
138,Suffield,138,SUFFIELD (139),507,189665110.0,2081147.0,981688.0,1099459.0,0.0
139,Thomaston,139,THOMASTON (140),353,165647364.0,4293533.0,1999805.0,2269627.0,24101.0
140,Thompson,140,THOMPSON (141),256,50637268.0,1144245.0,519571.0,624674.0,0.0
141,Tolland,141,TOLLAND (142),567,222202658.0,4343073.0,2045113.0,2297932.0,28.0
142,Torrington,142,TORRINGTON (143),1266,1130806191.0,29711045.0,15456001.0,14212975.0,42070.0
143,Trumbull,143,TRUMBULL (144),1190,1498601430.0,14157343.0,5941668.0,8209990.0,5685.0
144,Union,144,UNION (145),30,2136799.0,133208.0,66363.0,66845.0,0.0
145,Vernon,145,VERNON (146),876,411764960.0,15774583.0,7532560.0,8099433.0,142590.0
146,Voluntown,146,VOLUNTOWN (147),101,12177397.0,437732.0,200627.0,237100.0,6.0
147,Wallingford,147,WALLINGFORD (148),1845,1725744816.0,38259423.0,18586721.0,19466326.0,206376.0
148,Warren,148,WARREN (149),70,3017356.0,223180.0,91826.0,131354.0,0.0
149,Washington,149,WASHINGTON (150),323,54845194.0,2811014.0,1261245.0,1549617.0,152.0
150,Waterbury,150,WATERBURY (151),2333,1726634741.0,49336072.0,21371498.0,27761751.0,202824.0
151,Waterford,151,WATERFORD (152),692,1218061472.0,57269190.0,22197289.0,35071895.0,7.0
152,Watertown,152,WATERTOWN (153),891,610932252.0,23865001.0,8909733.0,14674804.0,280464.0
153,West,153,WEST HARTFORD (155),2043,1286087716.0,42228399.0,19376472.0,22506011.0,345917.0
154,West,154,WEST HAVEN (156),1236,519514088.0,15332580.0,7263518.0,8048723.0,20340.0
155,Westbrook,155,WESTBROOK (154),401,224823489.0,9673905.0,3998367.0,5628230.0,47308.0
156,Weston,156,WESTON (157),366,36163526.0,1163792.0,582425.0,581367.0,0.0
157,Westport,157,WESTPORT (158),1551,957951201.0,39012583.0,16662548.0,20323131.0,2026904.0
158,Wethersfield,158,WETHERSFIELD (159),790,462535296.0,10109159.0,4669514.0,5428146.0,11499.0
159,Willington,159,WILLINGTON (160),218,149905434.0,1915667.0,889765.0,1025881.0,21.0
160,Wilton,160,WILTON (161),935,604378785.0,16579609.0,8036357.0,8426436.0,116816.0
161,Winchester,161,WINCHESTER (162),474,139520731.0,2614084.0,1257922.0,1351846.0,4317.0
162,Windham,162,WINDHAM (163),589,315091865.0,10148233.0,4697139.0,5389240.0,61854.0
163,Windsor,163,WINDSOR (164),905,787431642.0,14047231.0,6884446.0,7147204.0,15580.0
164,Windsor,164,WINDSOR LOCKS (165),397,1615095723.0,16551174.0,8450148.0,8052489.0,48538.0
165,Wolcott,165,WOLCOTT (166),620,204550538.0,10305900.0,4522648.0,5783241.0,12.0
166,Woodbridge,166,WOODBRIDGE (167),405,86907610.0,3133372.0,1500276.0,1569521.0,63575.0
167,Woodbury,167,WOODBURY (168),576,184814984.0,4399775.0,2095666.0,2290455.0,13654.0
168,Woodstock,168,WOODSTOCK (169),347,45906078.0,1402180.0,627136.0,774957.0,88.0
169,Out,169,OUT OF STATE,29146,40281416222.0,874299255.0,405294597.0,463739468.0,5265190.0
170,State,170,STATE OF CONNECTICUT,152303,149381302407.0,3412524484.0,1572442803.0,1817414539.0,22667142.0
